id,name,name_dhivehi,category,price_mvr,description,description_dhivehi,veg,spice_level_0_3,heat_choice,best_seller,allow_comments,no_kitchen,hidden_from_qr,sold_out,add_ons,photo_url
m23,Keemia,,Fried Savory,10,"Popular Maldivian hedhikaa, crisp outside and savoury inside.",,no,0,no,no,yes,no,no,no,3 pcs | 5 pcs | 10 pcs | Chili Sauce +5,/api/img/m23
m40,Grilled Reef Fish,,Grills,190,Reef fish grilled with Maldivian seasoning and lime.,,no,0,no,no,yes,no,no,no,Steamed Rice +20 | Salad +20 | Fries +30 | Garlic Butter +10 | Lime +0,/api/img/m40
m5,Iced Latte,,Espresso Coffee,55,Chilled espresso and milk poured over ice.,,no,0,no,no,yes,no,no,no,Extra Shot +15 | Large +15 | Oat Milk +15 | Soy Milk +15 | Vanilla +10 | Caramel +10 | Hazelnut +10,/api/img/m5
m31,Beef Kottu Roshi,,Kottu Roshi,140,"Chopped roshi stir-fried with beef, egg, vegetables and savoury spices.",,no,0,no,no,yes,no,no,no,Fried Egg +15 | Extra Beef +40 | Cheese +15 | Extra Chili +0 | Extra Gravy +10,https://top15.fr/wp-content/uploads/2024/03/Kottu-Roti.jpg
m30,Chicken Kottu Roshi,,Kottu Roshi,120,"Chopped roshi stir-fried with chicken, egg, vegetables and savoury spices.",,no,0,no,no,yes,no,no,no,Fried Egg +15 | Extra Chicken +35 | Cheese +15 | Extra Chili +0 | Extra Gravy +10,https://top15.fr/wp-content/uploads/2024/03/Kottu-Roti.jpg
m7,Kalhu Sai,,Local Tea,15,Traditional Maldivian black tea.,,no,0,no,no,yes,no,no,no,Large +10 | Less Sugar +0 | No Sugar +0,/api/img/m7
m8,Kiru Sai,,Local Tea,20,Traditional Maldivian milk tea.,,no,0,no,no,yes,no,no,no,Large +10 | Less Sugar +0 | No Sugar +0,/api/img/m8
m17,Kulhimas,,Maldivian Breakfast,65,Traditional Maldivian speciality prepared with familiar island flavours.,,no,0,no,no,yes,no,no,no,Steamed Rice +20 | Roshi (2 pcs) +20 | Lime +0 | Lonumirus +5,/api/img/m17
m16,Mas Huni,,Maldivian Breakfast,45,"Tuna, coconut, onion and chili mixed for a classic Maldivian breakfast.",,no,0,no,no,yes,no,no,no,Roshi (2 pcs) +20 | Fried Egg +15 | Extra Mashuni +25 | Extra Chili +0,/api/img/m16
m18,Roshi (2 pcs),,Maldivian Breakfast,20,Traditional Maldivian speciality prepared with familiar island flavours.,,no,0,no,no,yes,no,no,no,Extra Roshi +10 | Butter +5,/api/img/m18
m4,Caffè Latte,,Espresso Coffee,50,Espresso with silky steamed milk and a light layer of foam.,,no,0,no,no,yes,no,no,no,Extra Shot +15 | Large +15 | Iced +5 | Oat Milk +15 | Soy Milk +15 | Vanilla +10 | Caramel +10 | Hazelnut +10,/api/img/m4
m3,Cappuccino,,Espresso Coffee,45,Espresso with steamed milk and a generous layer of velvety foam.,,no,0,no,yes,yes,no,no,no,Extra Shot +15 | Large +15 | Oat Milk +15 | Soy Milk +15 | Vanilla +10 | Caramel +10 | Chocolate +10 | Cinnamon +0,/api/img/m3
m13,Blue Lagoon,,Mocktails,65,Refreshing citrus-blue mocktail served over ice.,,no,0,no,no,yes,no,no,no,Large +15 | Less Sweet +0 | Extra Lime +5,/api/img/m13
m12,Classic Virgin Mojito,,Mojitos,65,Fresh lime and mint muddled with ice and sparkling soda.,,no,0,no,no,yes,no,no,no,Large +15 | Less Sweet +0 | Extra Lime +5 | Extra Mint +5 | No Ice +0,https://www.joyfulhealthyeats.com/wp-content/uploads/2025/06/Virgin-Mojito-Nojito-Recipe-web-6.jpg
m38,Chicken Alfredo,,Pasta,150,Creamy Alfredo pasta with tender chicken.,,no,0,no,no,yes,no,no,no,Extra Chicken +35 | Extra Cheese +15 | Garlic Bread +25,/api/img/m38
m39,Spaghetti Bolognese,,Pasta,145,Spaghetti with rich beef and tomato sauce.,,no,0,no,no,yes,no,no,no,Extra Chicken +35 | Extra Cheese +15 | Garlic Bread +25,/api/img/m39
m36,Margherita Pizza,,Pizza,140,"Classic tomato, mozzarella and herbs on a baked pizza base.",,no,0,no,no,yes,no,no,no,12 inch +40 | 15 inch +80 | Extra Cheese +20 | Olives +15 | Mushrooms +15 | Chili Flakes +0,https://www.local.mv/listing/la-vera-pizzeria/65483806_2316872161681267_2312524475087716352_o.jpg
m37,Seafood Pizza,,Pizza,180,"Seafood, tomato sauce, mozzarella and herbs on a baked pizza base.",,no,0,no,no,yes,no,no,no,12 inch +50 | 15 inch +100 | Extra Cheese +20 | Extra Seafood +45 | Olives +15 | Chili Flakes +0,https://www.local.mv/listing/la-vera-pizzeria/65483806_2316872161681267_2312524475087716352_o.jpg
m29,Mee Goreng,,Rice & Noodles,105,Stir-fried noodles with vegetables and savoury sauce.,,no,0,no,no,yes,no,no,no,Fried Egg +15 | Rihaakuru +10 | Lonumirus +5 | Extra Portion +30,/api/img/m29
m28,Mixed Nasi Goreng,,Nasi Goreng,150,"Indonesian-style fried rice with mixed proteins, vegetables, egg and aromatic seasoning.",,no,0,no,no,yes,no,no,no,Fried Egg +15 | Extra Chicken +30 | Extra Beef +35 | Extra Tuna +25 | Extra Chili +0 | Extra Portion +30,https://assets.dream.clubmed/pm_7531_597_597327-w4reagoq92-swhr.jpg
m27,Valhomas Rice,,Rice & Noodles,95,Comforting Maldivian valhomas rice prepared as a hearty rice or noodle dish.,,no,0,no,no,yes,no,no,no,Fried Egg +15 | Rihaakuru +10 | Lonumirus +5 | Extra Portion +30,/api/img/m27
m14,Mango Smoothie,,Smoothies,70,Creamy blended mango smoothie.,,no,0,no,no,yes,no,no,no,Large +15 | No Sugar +0 | Less Sugar +0 | Extra Ice +0,/api/img/m14
m15,Coca Cola,,Soft Drinks,25,Chilled carbonated soft drink.,,no,0,no,no,no,no,no,no,Ice +0 | Lemon +5,/api/img/m15
m26,Foni Boakibaa,,Sweet Treats,15,"Traditional Maldivian sweet treat, perfect with tea or after a meal.",,no,0,no,no,yes,no,no,no,Vanilla Ice Cream +25 | Condensed Milk +10,/api/img/m26
lm001,Vanilla Juice Petty,,Sweet Treats,35,"Traditional Maldivian sweet treat, perfect with tea or after a meal.",,yes,0,no,no,yes,no,no,no,Vanilla Ice Cream +25 | Condensed Milk +10,https://lonumedhu.com/sites/default/files/cover%20final.jpg
lm002,Bambukeyo Bondibaiy,,Rice & Noodles,85,Comforting Maldivian bambukeyo bondibaiy prepared as a hearty rice or noodle dish.,,yes,0,no,no,yes,no,no,no,Fried Egg +15 | Rihaakuru +10 | Lonumirus +5 | Extra Portion +30,https://lonumedhu.com/sites/default/files/cover%20-%20banbukeyo%20bondibaiy.jpg
lm003,Saagu Bondibaiy,,Rice & Noodles,85,Comforting Maldivian saagu bondibaiy prepared as a hearty rice or noodle dish.,,no,0,no,no,yes,no,no,no,Fried Egg +15 | Rihaakuru +10 | Lonumirus +5 | Extra Portion +30,https://lonumedhu.com/sites/default/files/cover%20-%20saagu%20bondibaih.jpg
lm004,Kandu Kukulhu,,Curries,95,Traditional Maldivian tuna rolls simmered in a rich coconut curry.,,no,1,yes,yes,yes,no,no,no,Steamed Rice +20 | Roshi (2 pcs) +20 | Extra Curry +25 | Extra Chili +0,https://lonumedhu.com/sites/default/files/cover%20-%20kandu%20kukulhu%20riha.jpg
lm005,Kukulhu Biriyani,,Rice & Noodles,110,Fragrant Maldivian-style chicken biriyani with aromatic spices.,,no,0,no,yes,yes,no,no,no,Fried Egg +15 | Rihaakuru +10 | Lonumirus +5 | Extra Portion +30,https://lonumedhu.com/sites/default/files/cover%20-%20kukulhu%20biriyani.jpg
lm006,Maalhoskeylu Kandhi,,Maldivian Specialties,65,Traditional Maldivian speciality prepared with familiar island flavours.,,yes,0,no,no,yes,no,no,no,Vanilla Ice Cream +25 | Condensed Milk +10,https://lonumedhu.com/sites/default/files/Cover%20image%20web.jpg
lm007,Dhon Anbu Riha,,Curries,95,Traditional Maldivian dhon anbu riha cooked with aromatic spices and local flavours.,,yes,1,yes,no,yes,no,no,no,Steamed Rice +20 | Roshi (2 pcs) +20 | Extra Curry +25 | Extra Chili +0,https://lonumedhu.com/sites/default/files/cover%20-%20dhon%20anbu%20riha.jpg
lm008,Masmirus Noodles,,Sides & Condiments,20,Traditional Maldivian accompaniment that adds extra flavour to local meals.,,no,2,no,no,yes,yes,no,no,Small | Regular | Large,https://lonumedhu.com/sites/default/files/cover%20-%20masmirus%20noodles.jpg
lm009,Fish Curry,,Fish & Seafood,95,Maldivian fish speciality seasoned with aromatic spices and local ingredients.,,no,1,yes,no,yes,no,no,no,Steamed Rice +20 | Roshi (2 pcs) +20 | Lime +0 | Lonumirus +5,https://lonumedhu.com/sites/default/files/cover%20-%20mas%20riha.jpg
lm010,Caramel Folhi,,Sweet Treats,35,"Traditional Maldivian sweet treat, perfect with tea or after a meal.",,yes,0,no,no,yes,no,no,no,Vanilla Ice Cream +25 | Condensed Milk +10,https://lonumedhu.com/sites/default/files/cover%20photo_23.jpg
lm011,Dhon Riha,,Curries,95,Traditional Maldivian dhon riha cooked with aromatic spices and local flavours.,,no,1,yes,no,yes,no,no,no,Steamed Rice +20 | Roshi (2 pcs) +20 | Extra Curry +25 | Extra Chili +0,https://lonumedhu.com/sites/default/files/cover%20-%20dhon%20riha.jpg
lm012,Cake Folhi,,Baked Savory,18,Traditional Maldivian savoury tea-time snack with rich local flavours.,,no,0,no,no,yes,no,no,no,3 pcs | 5 pcs | 10 pcs | Chili Sauce +5,https://lonumedhu.com/sites/default/files/cover%20shot_7.jpg
lm013,Fehi Paan Boakibaa,,Sweet Treats,35,"Traditional Maldivian sweet treat, perfect with tea or after a meal.",,yes,0,no,no,yes,no,no,no,Vanilla Ice Cream +25 | Condensed Milk +10,https://lonumedhu.com/sites/default/files/cover%20shot_3.jpg
lm014,Fihunu Atta Fuh Gulha,,Fried Savory,12,"Popular Maldivian hedhikaa, crisp outside and savoury inside.",,no,1,no,no,yes,no,no,no,3 pcs | 5 pcs | 10 pcs | Chili Sauce +5,https://lonumedhu.com/sites/default/files/cover%20-%20fihunu%20gulha.jpg
lm015,Kiru Rihaakuru Dhiya,,Sweet Treats,35,"Traditional Maldivian sweet treat, perfect with tea or after a meal.",,no,2,no,no,yes,no,no,no,Steamed Rice +20 | Roshi (2 pcs) +20 | Extra Curry +25 | Extra Chili +0,https://lonumedhu.com/sites/default/files/cover%20-%20rihaakuru%20dhiya.jpg
lm016,Hanaakuri Boava,,Maldivian Specialties,65,Traditional Maldivian speciality prepared with familiar island flavours.,,no,2,no,no,yes,no,no,no,Steamed Rice +20 | Roshi (2 pcs) +20 | Extra Chili +0 | Lime +0,https://lonumedhu.com/sites/default/files/cover%20-%20Hanaakuri%20Boava.jpg
lm017,Hanaakuri Masdhalhu,,Fish & Seafood,95,Maldivian fish speciality seasoned with aromatic spices and local ingredients.,,no,2,yes,no,yes,no,no,no,Steamed Rice +20 | Roshi (2 pcs) +20 | Lime +0 | Lonumirus +5,https://lonumedhu.com/sites/default/files/cover%20-%20hanaakuri%20masdhalhu.jpg
lm018,Theyo Mirus Baiy,,Rice & Noodles,85,Comforting Maldivian theyo mirus baiy prepared as a hearty rice or noodle dish.,,no,1,yes,no,yes,no,no,no,Fried Egg +15 | Rihaakuru +10 | Lonumirus +5 | Extra Portion +30,https://lonumedhu.com/sites/default/files/cover%20-%20theyo%20mirus%20baiy.jpg
lm019,Huni Baiy,,Rice & Noodles,85,Comforting Maldivian huni baiy prepared as a hearty rice or noodle dish.,,no,0,no,no,yes,no,no,no,Fried Egg +15 | Rihaakuru +10 | Lonumirus +5 | Extra Portion +30,https://lonumedhu.com/sites/default/files/cover%20-%20huni%20baiy%20web_0.jpg
lm020,Muru Muru,,Fried Savory,12,"Popular Maldivian hedhikaa, crisp outside and savoury inside.",,no,0,no,no,yes,no,no,no,3 pcs | 5 pcs | 10 pcs | Chili Sauce +5,https://lonumedhu.com/sites/default/files/cover%20-%20muru%20muru.jpg
lm021,Baked Bean Curry,,Maldivian Specialties,65,Traditional Maldivian speciality prepared with familiar island flavours.,,yes,0,no,no,yes,no,no,no,Steamed Rice +20 | Roshi (2 pcs) +20 | Extra Curry +25 | Extra Chili +0,https://lonumedhu.com/sites/default/files/Cover%20-%20baked%20bean%20curry_1.jpg
lm022,Chichanda Mashuni,,Maldivian Breakfast,55,Traditional Maldivian chichanda mashuni prepared with fresh local flavours.,,no,0,no,no,yes,no,no,no,Roshi (2 pcs) +20 | Fried Egg +15 | Extra Mashuni +25 | Extra Chili +0,https://lonumedhu.com/sites/default/files/cover%20-%20chichanda%20mashuni.jpg
lm023,Raiy Bondibaiy,,Rice & Noodles,85,Comforting Maldivian raiy bondibaiy prepared as a hearty rice or noodle dish.,,no,0,no,no,yes,no,no,no,Fried Egg +15 | Rihaakuru +10 | Lonumirus +5 | Extra Portion +30,https://lonumedhu.com/sites/default/files/cover%20-%20raih%20bondibaih.jpg
lm024,Karaa Fani,,Traditional Drinks,45,Traditional chilled watermelon drink.,,yes,0,no,no,yes,yes,no,no,Large +15 | Less Sugar +0 | No Sugar +0 | Extra Ice +0,https://lonumedhu.com/sites/default/files/cover%20-%20karaafani.jpg
lm025,Tuna Sandwich,,Sandwiches & Panini,95,Tuna sandwich with fresh salad and creamy house dressing.,,no,1,yes,no,yes,no,no,no,Cheese +15 | Fried Egg +15 | Extra Tuna +25 | Fries +30 | Toasted +0,https://www.gastronomiac.com/wp/wp-content/uploads/2018/03/Sandwich-sous-marin.jpg
lm026,Quick Anbu Asaara,,Sides & Condiments,20,Traditional Maldivian accompaniment that adds extra flavour to local meals.,,no,1,no,no,yes,yes,no,no,Small | Regular | Large,https://lonumedhu.com/sites/default/files/Cover-photo.jpg
lm027,Saagu Kan’dhi,,Sweet Treats,35,"Traditional Maldivian sweet treat, perfect with tea or after a meal.",,yes,0,no,no,yes,no,no,no,Vanilla Ice Cream +25 | Condensed Milk +10,https://lonumedhu.com/sites/default/files/Saagu-kandhi-cover.jpg
lm028,Carrot Asaara,,Sides & Condiments,20,Traditional Maldivian accompaniment that adds extra flavour to local meals.,,no,1,no,no,yes,yes,no,no,Small | Regular | Large,https://lonumedhu.com/sites/default/files/carrot-asaara-cover.jpg
lm029,Lonumirus Kukulhu Riha,,Sides & Condiments,20,Traditional Maldivian accompaniment that adds extra flavour to local meals.,,no,2,no,no,yes,yes,no,no,Steamed Rice +20 | Roshi (2 pcs) +20 | Extra Curry +25 | Extra Chili +0,https://lonumedhu.com/sites/default/files/Lonumirus-Kukulhu-Riha-cover.jpg
lm030,Raiy Mashuni,,Maldivian Breakfast,55,Traditional Maldivian raiy mashuni prepared with fresh local flavours.,,no,3,yes,yes,yes,no,no,no,Roshi (2 pcs) +20 | Fried Egg +15 | Extra Mashuni +25 | Extra Chili +0,https://lonumedhu.com/sites/default/files/rai-mashuni-cover.jpg
lm031,Kulhi Roshi,,Maldivian Specialties,65,Traditional Maldivian speciality prepared with familiar island flavours.,,no,2,no,no,yes,no,no,no,3 pcs | 5 pcs | 10 pcs | Chili Sauce +5,https://lonumedhu.com/sites/default/files/kulhiroshi-cover.jpg
lm032,Maldivian Kulhi Riha,,Curries,95,Rich and spicy Maldivian tuna curry with coconut and spices.,,no,2,yes,no,yes,no,no,no,Steamed Rice +20 | Roshi (2 pcs) +20 | Extra Curry +25 | Extra Chili +0,https://lonumedhu.com/sites/default/files/kulhi-riha-cover.jpg
lm033,Oh Keemiya,,Fried Savory,12,"Popular Maldivian hedhikaa, crisp outside and savoury inside.",,no,0,no,no,yes,no,no,no,3 pcs | 5 pcs | 10 pcs | Chili Sauce +5,https://lonumedhu.com/sites/default/files/ohkeemiya-cover_0.jpg
lm034,Hanaakuri Kukulhu Mey,,Curries,95,Traditional Maldivian hanaakuri kukulhu mey cooked with aromatic spices and local flavours.,,no,2,yes,no,yes,no,no,no,Steamed Rice +20 | Roshi (2 pcs) +20 | Extra Curry +25 | Extra Chili +0,https://lonumedhu.com/sites/default/files/chicken-liver-cover.jpg
lm035,Ravaa Boakibaa,,Sweet Treats,35,"Traditional Maldivian sweet treat, perfect with tea or after a meal.",,yes,0,no,no,yes,no,no,no,Vanilla Ice Cream +25 | Condensed Milk +10,https://lonumedhu.com/sites/default/files/ravaa-boakiba-cover.jpg
lm036,Majaa,,Maldivian Specialties,65,Traditional Maldivian speciality prepared with familiar island flavours.,,no,2,no,no,yes,no,no,no,Small | Regular | Large,https://lonumedhu.com/sites/default/files/maja%20cover.jpg
lm037,Kukulhu Garudhiya,,Curries,95,Traditional Maldivian kukulhu garudhiya cooked with aromatic spices and local flavours.,,no,1,yes,no,yes,no,no,no,Steamed Rice +20 | Roshi (2 pcs) +20 | Extra Curry +25 | Extra Chili +0,https://lonumedhu.com/sites/default/files/kukulhu%20garudhiya%20cover.jpg
lm038,Foni Biscoadhu,,Fried Savory,12,"Popular Maldivian hedhikaa, crisp outside and savoury inside.",,no,0,no,no,yes,no,no,no,3 pcs | 5 pcs | 10 pcs | Chili Sauce +5,https://lonumedhu.com/sites/default/files/foni-biskoadhu-cover.jpg
lm039,Handoo Gulha,,Fried Savory,12,"Popular Maldivian hedhikaa, crisp outside and savoury inside.",,no,0,no,yes,yes,no,no,no,3 pcs | 5 pcs | 10 pcs | Chili Sauce +5,https://lonumedhu.com/sites/default/files/Handoo%20Gulha%201.jpg
lm040,Zileybi,,Fried Savory,12,"Popular Maldivian hedhikaa, crisp outside and savoury inside.",,no,0,no,no,yes,no,no,no,3 pcs | 5 pcs | 10 pcs | Chili Sauce +5,https://lonumedhu.com/sites/default/files/Zileybi%20Cover%202.jpg
lm041,Easy Kulhi Mas,,Fish & Seafood,95,Maldivian fish speciality seasoned with aromatic spices and local ingredients.,,no,2,yes,no,yes,no,no,no,Steamed Rice +20 | Roshi (2 pcs) +20 | Lime +0 | Lonumirus +5,https://lonumedhu.com/sites/default/files/Cover-Photo_14.jpg
lm042,Valhomas Kulhi Riha,,Curries,95,Traditional Maldivian valhomas kulhi riha cooked with aromatic spices and local flavours.,,no,2,yes,no,yes,no,no,no,Steamed Rice +20 | Roshi (2 pcs) +20 | Extra Curry +25 | Extra Chili +0,https://lonumedhu.com/sites/default/files/Valhomas%20Kulhi%20Riha%203.jpg
lm043,Bis Cutlets,,Fried Savory,12,"Popular Maldivian hedhikaa, crisp outside and savoury inside.",,no,0,no,no,yes,no,no,no,3 pcs | 5 pcs | 10 pcs | Chili Sauce +5,https://lonumedhu.com/sites/default/files/Cover-Image.jpg
lm044,Kashikeyo Fani,,Traditional Drinks,45,Refreshing traditional screwpine fruit juice.,,yes,0,no,yes,yes,yes,no,no,Large +15 | Less Sugar +0 | No Sugar +0 | Extra Ice +0,https://lonumedhu.com/sites/default/files/Kashikeyo%20Fani%20photo5.jpg
lm045,Aluvi Sambol,,Sides & Condiments,20,Traditional Maldivian accompaniment that adds extra flavour to local meals.,,yes,0,no,no,yes,yes,no,no,Small | Regular | Large,https://lonumedhu.com/sites/default/files/Aluvi%20Sambol%201.jpg
lm046,Theluli Mushimas,,Fish & Seafood,95,Whole fish seasoned with spices and fried until crisp.,,no,1,yes,yes,yes,no,no,no,Steamed Rice +20 | Roshi (2 pcs) +20 | Lime +0 | Lonumirus +5,https://lonumedhu.com/sites/default/files/TheluliMushimas1.jpg
lm047,Gabulhi Boakibaa,,Sweet Treats,35,"Traditional Maldivian sweet treat, perfect with tea or after a meal.",,yes,0,no,no,yes,no,no,no,Vanilla Ice Cream +25 | Condensed Milk +10,https://lonumedhu.com/sites/default/files/GabulhiBoakibaa2.jpg
lm048,Bambukeyolee Baiy,,Rice & Noodles,85,Comforting Maldivian bambukeyolee baiy prepared as a hearty rice or noodle dish.,,yes,0,no,no,yes,no,no,no,Fried Egg +15 | Rihaakuru +10 | Lonumirus +5 | Extra Portion +30,https://lonumedhu.com/sites/default/files/Bambukeyolee%20Baiy%201.jpg
lm049,Aluvi Mashuni,,Maldivian Breakfast,55,Traditional Maldivian aluvi mashuni prepared with fresh local flavours.,,no,0,no,no,yes,no,no,no,Roshi (2 pcs) +20 | Fried Egg +15 | Extra Mashuni +25 | Extra Chili +0,https://lonumedhu.com/sites/default/files/Aluvi%20Mashuni1.jpg
lm050,Kopeefathu Mas Huni,,Maldivian Breakfast,55,Traditional Maldivian kopeefathu mas huni prepared with fresh local flavours.,,no,0,no,no,yes,no,no,no,Roshi (2 pcs) +20 | Fried Egg +15 | Extra Mashuni +25 | Extra Chili +0,/api/img/lm050
lm051,Bambukeyo Kirugarudhiya,,Sweet Treats,35,"Traditional Maldivian sweet treat, perfect with tea or after a meal.",,yes,0,no,no,yes,no,no,no,Steamed Rice +20 | Roshi (2 pcs) +20 | Extra Curry +25 | Extra Chili +0,/api/img/lm051
lm052,Kiru Folhi,,Maldivian Breakfast,55,Traditional Maldivian speciality prepared with familiar island flavours.,,no,0,no,no,yes,no,no,no,Curry Side +25 | Honey +10,https://lonumedhu.com/sites/default/files/KiruFolhi2.jpg
lm053,Hanaakuri Havaadhu,,Sides & Condiments,20,Traditional Maldivian accompaniment that adds extra flavour to local meals.,,no,2,no,no,yes,yes,no,no,Small | Regular | Large,https://lonumedhu.com/sites/default/files/Hanaakuri%20Havaadhu%201.jpg
lm054,Lonu Kandhi,,Maldivian Breakfast,55,Traditional Maldivian speciality prepared with familiar island flavours.,,no,0,no,no,yes,no,no,no,Roshi (2 pcs) +20 | Fried Egg +15 | Extra Chili +0,https://lonumedhu.com/sites/default/files/Lonu%20Kandhi%201.jpg
lm055,Boashi Mas Huni,,Sides & Condiments,20,Traditional Maldivian boashi mas huni prepared with fresh local flavours.,,no,0,no,no,yes,yes,no,no,Roshi (2 pcs) +20 | Fried Egg +15 | Extra Mashuni +25 | Extra Chili +0,https://lonumedhu.com/sites/default/files/Boashi%20Mashuni1.jpg
lm056,Bambukeyo Bongara,,Curries,95,Traditional Maldivian bambukeyo bongara cooked with aromatic spices and local flavours.,,yes,1,yes,no,yes,no,no,no,Steamed Rice +20 | Roshi (2 pcs) +20 | Extra Curry +25 | Extra Chili +0,https://lonumedhu.com/sites/default/files/BambukeyoBongara1.jpg
lm057,Fiyaa Satani,,Sides & Condiments,20,Traditional Maldivian accompaniment that adds extra flavour to local meals.,,no,1,no,no,yes,yes,no,no,Small | Regular | Large,https://lonumedhu.com/sites/default/files/FiyaaSatani1.jpg
lm058,Roosihaa Baiy,,Rice & Noodles,85,Comforting Maldivian roosihaa baiy prepared as a hearty rice or noodle dish.,,no,0,no,no,yes,no,no,no,Fried Egg +15 | Rihaakuru +10 | Lonumirus +5 | Extra Portion +30,https://lonumedhu.com/sites/default/files/RoosihaaBaiy2.jpg
lm059,Hanaakuri Kukulhu,,Curries,95,Traditional Maldivian hanaakuri kukulhu cooked with aromatic spices and local flavours.,,no,2,yes,no,yes,no,no,no,Steamed Rice +20 | Roshi (2 pcs) +20 | Extra Curry +25 | Extra Chili +0,https://lonumedhu.com/sites/default/files/HanaakuriKukulhu2.jpg
lm060,Hanaakuri Huni Havaadhu,,Sides & Condiments,20,Traditional Maldivian accompaniment that adds extra flavour to local meals.,,no,2,no,no,yes,yes,no,no,Small | Regular | Large,https://lonumedhu.com/sites/default/files/hanaakurihunihavaadhu.jpg
lm061,Tuna Patties,,Fried Savory,12,"Popular Maldivian hedhikaa, crisp outside and savoury inside.",,no,0,no,no,yes,no,no,no,3 pcs | 5 pcs | 10 pcs | Chili Sauce +5,https://lonumedhu.com/sites/default/files/Patties4.jpg
